year,artist,song,performer,quote,price_k,kind,currency,city,confidence,flags,note,source,id,genius_url,genius_id,genius_year,lyric_location,wiki_title,wiki_birth_place,wiki_origin,wiki_top_city,annotation_url,annotation_text,annotation_votes,image,image_source,song_art,inferred_city,inferred_basis,inferred_url,inferred_confidence,home_city,home_city_source
2024,Aystar,Hands On,Aystar,Boss the price is twenty-five if you're copping a brick,25,sell,GBP,"Liverpool, UK",high,,,lyric_search,132,https://genius.com/Aystar-hands-on-lyrics,10392737,2024,,,,,,,,,img/artists/aystar-650981.jpg,artist_photo,img/art/10392737.jpg,,,,,"Liverpool, UK",curated
2024,Wiz Khalifa,Dress Like This,Hardo,"Twenty for a brick, but want five thousand for the vocals (Skrrt)",20,quoted,USD,"Pittsburgh, PA",medium,,,lyric_search,133,https://genius.com/Wiz-khalifa-dress-like-this-lyrics,9997459,2024,,Hardo,"Wilkinsburg, Pennsylvania, U.S","Pittsburgh, Pennsylvania, U.S",Pittsburgh,,,,img/artists/hardo-56343.jpg,artist_photo,img/art/9997459.jpg,,,,,"Pittsburgh, PA",curated
2024,Hackle & Buckshot (IRL),AIN'T WORTH IT,Buckshot (IRL),Thirty K a brick shipped if you got the fucking links (Links),30,sell,USD,,medium,,,lyric_search,134,https://genius.com/Hackle-and-buckshot-irl-aint-worth-it-lyrics,10887514,2024,,,,,,,,,img/artists/buckshot-irl-2537762.jpg,artist_photo,img/art/10887514.jpg,"Dublin, Ireland","The brick line is in Buckshot's verse ('shit imported straight from Ireland'); Buckshot (IRL) is a Dublin rapper on Haunted Mound. Hackle, the lead credit, is from San Jose, CA",https://genius.com/Hackle-and-buckshot-irl-aint-worth-it-lyrics,medium,"Dublin, Ireland",inferred
2024,Tyno Got It,Uncle Drive,Tyno Got It,Food price went up last week / Now it's 17 5th for a half a brick,35,quoted,USD,,medium,derived,17.5 per half => 35 per kilo,lyric_search,135,https://genius.com/Tyno-got-it-uncle-drive-lyrics,11099872,2024,,,,,,,,,img/artists/tyno-got-it-4190451.jpg,artist_photo,img/art/11099872.jpg,"London, UK",GRM Daily repeatedly calls Tyno Got It a rising East London rapper; his posts tag Walthamstow E17,https://grmdaily.com/tyno-got-it-so-solid/,high,"London, UK",inferred
2024,Westside Gunn & DJ Drama,Duran Duran,Westside Gunn,"Niggas know me, when bricks was twenty-two a pot",22,quoted,USD,"Buffalo, NY",high,retrospective,,lyric_search,136,https://genius.com/Westside-gunn-and-dj-drama-duran-duran-lyrics,11047395,2024,,Westside Gunn,"Buffalo, New York, U.S",,Paris,,,,img/artists/westside-gunn-451539.jpg,artist_photo,img/art/11047395.jpg,,,,,"Buffalo, NY",curated
2024,Řezník & Non Phixion,Groupie,,Twenty-five a brick,25,quoted,USD,"New York, NY",medium,,,lyric_search,137,https://genius.com/Reznik-and-non-phixion-groupie-lyrics,10834454,2024,,,,,,,,,img/artists/ezn-k-156215.jpg,artist_photo,img/art/10834454.jpg,,,,,"New York, NY",curated
2024,BloodHound Q50,King Draco,BloodHound Q50,Sixteen-five if you want you a brick,16.5,sell,USD,,medium,,,lyric_search,138,https://genius.com/Bloodhound-q50-king-draco-lyrics,11268149,2024,,Bloodhound (disambiguation),,,Chicago,,,,img/artists/bloodhound-q50-4011321.jpg,artist_photo,img/art/11268149.jpg,,,,,Chicago,wiki_top_city
2025,AgnsBill,Trap Fame,AgnsBill,"Thirty-six a brick, I sold him three",36,sell,USD,,medium,,,lyric_search,139,https://genius.com/Agnsbill-trap-fame-lyrics,13255901,2025,,,,,,,,,img/artists/agnsbill-4556512.jpg,artist_photo,img/art/13255901.jpg,"Bainbridge, GA","Official site: born and raised in Bainbridge, Georgia",https://agnsinc.com/about/,high,"Bainbridge, GA",inferred
2025,Young Nudy,SNAKE,Young Nudy,That's when bricks was goin' for thirty-six,36,quoted,USD,"Atlanta, GA",high,retrospective,,lyric_search,140,https://genius.com/Young-nudy-snake-lyrics,12245580,2025,,Young Nudy,"Atlanta, Georgia, U.S",,Atlanta,,,,img/artists/young-nudy-640658.jpg,artist_photo,img/art/12245580.jpg,,,,,"Atlanta, GA",curated
2025,Slim (UK),24,Slim,"Some things never change, thirty for a brick of yay",30,quoted,GBP,"London, UK",high,,,lyric_search,141,https://genius.com/Slim-uk-24-lyrics,12280547,2025,,,,,,,,,img/artists/slim-uk-1647029.jpg,artist_photo,img/art/12280547.jpg,,,,,"London, UK",curated
2025,Street Certified & ShredGang,Back To Back,,Thirty for a brick,30,quoted,USD,,medium,,,lyric_search,142,https://genius.com/Street-certified-and-shredgang-back-to-back-lyrics,12872610,2025,,,,,,,,,img/art/12872610.jpg,song_art,img/art/12872610.jpg,"Detroit, MI",Street Certified is a Detroit label; its whole roster including the ShredGang members is Detroit,https://streetcertifiedrecords.com/,high,"Detroit, MI",inferred
2025,bdifferent & Hotboii,LMDS,,Let them birds go for thirty-three like Boston Celtics,33,sell,USD,"Orlando, FL",high,,,lyric_search,143,https://genius.com/Bdifferent-and-hotboii-lmds-lyrics,12575364,2025,,,,,,,,,img/artists/bdifferent-3933723.jpg,artist_photo,img/art/12575364.jpg,,,,,"Orlando, FL",curated
2026,Why G,Where Ya Mans?,,Eighteen-five just for the brick,18.5,quoted,CAD,"Toronto, ON",medium,,,lyric_search,144,https://genius.com/Why-g-where-ya-mans-lyrics,12910931,2026,,,,,,,,,img/artists/why-g-653133.jpg,artist_photo,img/art/12910931.jpg,,,,,"Toronto, ON",curated
1996,Silkk the Shocker,I Ain't Takin No Shorts,Silkk the Shocker,"Mr. I gives a fuck, I gots this D 17, 5 a key",17.5,sell,USD,"New Orleans, LA",high,,,lyric_search,145,https://genius.com/Silkk-the-shocker-i-aint-takin-no-shorts-lyrics,42381,1996,,Silkk the Shocker,"New Orleans, Louisiana, U.S",,Orlando,,,,img/artists/silkk-the-shocker-3355.jpg,artist_photo,img/art/42381.jpg,,,,,"New Orleans, LA",curated
1998,La The Darkman,Gun Rule,La The Darkman,"Stole four bricks, a hundred G's / Twenty-five a piece straight",25,quoted,USD,"New York, NY",high,,,lyric_search,146,https://genius.com/La-the-darkman-gun-rule-lyrics,27430,1998,,La the Darkman,"New York City, New York","Brooklyn, New York",New York,,,,img/artists/la-the-darkman-2872.jpg,artist_photo,img/art/27430.jpg,,,,,"New York, NY",curated
2005,AZ,The Truth,AZ,"And when coke went up, we had it for 27",27,sell,USD,"Brooklyn, NY",high,retrospective,,lyric_search,147,https://genius.com/Az-the-truth-lyrics,105366,2005,,,,,,,,,img/artists/az-81.jpg,artist_photo,img/art/105366.jpg,,,,,"Brooklyn, NY",curated
2008,Wiley,Taliban,Wiley,The price of coke's going up / It's thirty four gram for a key,34,quoted,GBP,"London, UK",high,,,lyric_search,148,https://genius.com/Wiley-taliban-lyrics,4431368,2008,,,,,,,,,img/artists/wiley-1639.jpg,artist_photo,img/art/4431368.jpg,,,,,"London, UK",curated
2010,Jeezy,Porsche Music,Jeezy,"That's thirty-k, for a whole brick of sheetrock",30,quoted,USD,"Atlanta, GA",high,,,lyric_search,149,https://genius.com/Jeezy-porsche-music-lyrics,811364,2010,,Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,,,,img/artists/jeezy-67.jpg,artist_photo,img/art/811364.jpg,,,,,"Atlanta, GA",curated
2012,Gucci Mane,Put on a Show,Gucci Mane,"Selling bricks for 35, if I know [ya]",35,sell,USD,"Atlanta, GA",high,,,lyric_search,150,https://genius.com/Gucci-mane-put-on-a-show-lyrics,3932815,2012,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,,,,img/artists/gucci-mane-13.jpg,artist_photo,img/art/3932815.jpg,,,,,"Atlanta, GA",curated
2012,Webbo,Young Nigga Ballin,,When them birds was going for the 17,17,quoted,USD,"Detroit, MI",high,retrospective,,lyric_search,151,https://genius.com/Webbo-young-nigga-ballin-lyrics,8971388,2012,,,,,,,,,img/artists/webbo-1787468.jpg,artist_photo,img/art/8971388.jpg,,,,,"Detroit, MI",curated
2013,Lantana,"All Hustle, No Luck (Remix)",,"I want thirty for a bird, 22 for a duck",30,sell,USD,,medium,,,lyric_search,152,https://genius.com/Lantana-all-hustle-no-luck-remix-lyrics,241322,2013,,,,,,https://genius.com/2342797,"A bird and a duck (referencing cocaine) both weigh in at a Kilo. Gotti wants $30,000 for a bird and $22,000 for a duck. The duck comes at a cheaper price because it is not pure uncut cocaine.

Most likely it is cut with some other white powered (usually baking powder).",2,img/art/241322.jpg,song_art,img/art/241322.jpg,"Cincinnati, OH",Complex on the remix video: 'Cincinnati representative Lantana',https://www.complex.com/music/a/justin-davis/lantana-all-hustle-no-luck-remix-video,high,"Cincinnati, OH",inferred
2014,D. Chamberz,"On My 1, 2",Fred the Godson,"Forty for a key, seventy if you want two",40,sell,USD,"Bronx, NY",medium,,,lyric_search,153,https://genius.com/D-chamberz-on-my-1-2-lyrics,5940472,2014,,Fred the Godson,"New York City, U.S",,Bronx,,,,img/artists/fred-the-godson-13093.jpg,artist_photo,img/art/5940472.jpg,,,,,"Bronx, NY",curated
2015,Deniro Farrar,So Long,Deniro Farrar,Real street nigga 35 for a brick / Sell it for the forty one,41,sell,USD,"Charlotte, NC",high,,"buys at 35, sells at 41",lyric_search,154,https://genius.com/Deniro-farrar-so-long-lyrics,2421854,2015,,Deniro Farrar,"Charlotte, North Carolina, U.S",,Charlotte,,,,img/artists/deniro-farrar-37913.jpg,artist_photo,img/art/2421854.jpg,,,,,"Charlotte, NC",curated
2015,Westside Gunn & Conway the Machine,Pray for Buffalo,,"Coke prices so-so, forty for a whole dough",40,quoted,USD,"Buffalo, NY",high,,,lyric_search,155,https://genius.com/Westside-gunn-and-conway-the-machine-pray-for-buffalo-lyrics,2442311,2015,"Buffalo, NY (title)",Westside Gunn,"Buffalo, New York, U.S",,Paris,,,,img/artists/westside-gunn-451539.jpg,artist_photo,img/art/2442311.jpg,,,,,"Buffalo, NY (title)",lyric
2016,Jimmy Wopo,Prime Time,Jimmy Wopo,"And it's forty for a key nigga, ask AZ",40,quoted,USD,"Pittsburgh, PA",high,,,lyric_search,156,https://genius.com/Jimmy-wopo-prime-time-lyrics,3789869,2016,,Jimmy Wopo,"Pittsburgh, Pennsylvania, U.S",,Pittsburgh,,,,img/artists/jimmy-wopo-327800.jpg,artist_photo,img/art/3789869.jpg,,,,,"Pittsburgh, PA",curated
2016,Westside Gunn,Free Chapo,Conway the Machine,"Dump the work in the acid, forty for a brick",40,quoted,USD,"Buffalo, NY",medium,,,lyric_search,157,https://genius.com/Westside-gunn-free-chapo-lyrics,2441246,2016,,Conway the Machine,"Buffalo, New York, U.S",,London,,,,img/artists/conway-the-machine-53774.jpg,artist_photo,img/art/2441246.jpg,,,,,"Buffalo, NY",curated
2017,Baby Ahk,Marathon,Baby Ahk,18 5 for the half a key,37,sell,USD,,medium,derived,18.5 per half => 37 per kilo,lyric_search,158,https://genius.com/Baby-ahk-marathon-lyrics,4434708,2017,,,,,,,,,img/artists/baby-ahk-797836.jpg,artist_photo,img/art/4434708.jpg,"Riverdale, MD","Genius bio: DMV rapper from Riverdale, Prince George's County, MD; killed there in Oct 2018",https://www.thecoli.com/threads/riverdale-md-rapper-baby-ahk-killed.669099/,high,"Riverdale, MD",inferred
2017,No Plug,Groceries,,"Bricks is thirty-five, that's too high",35,quoted,USD,"Atlanta, GA",high,,,lyric_search,159,https://genius.com/No-plug-groceries-lyrics,3461428,2017,,,,,,,,,img/artists/no-plug-991980.jpg,artist_photo,img/art/3461428.jpg,,,,,"Atlanta, GA",curated
2018,Westside Gunn,Ric Martel,,"Whole brick for 28, look like we bleached it",28,quoted,USD,"Buffalo, NY",medium,,,lyric_search,160,https://genius.com/Westside-gunn-ric-martel-lyrics,3746575,2018,,Westside Gunn,"Buffalo, New York, U.S",,Paris,,,,img/artists/westside-gunn-451539.jpg,artist_photo,img/art/3746575.jpg,,,,,"Buffalo, NY",curated
2018,sKitz Kraven,Propaganda,sKitz Kraven,Thirty for a key / Now that's a piece,30,quoted,USD,,medium,,,lyric_search,161,https://genius.com/Skitz-kraven-propaganda-lyrics,4296865,2018,,,,,,,,,img/artists/skitz-kraven-991289.jpg,artist_photo,img/art/4296865.jpg,"Sun Prairie, WI","Official bio: from Sun Prairie, Wisconsin; moved to Los Angeles at 19",https://www.skitzkraven.com/pages/bio,high,"Sun Prairie, WI",inferred
2019,Wanski,5.Am,Veeze,Thirty-five for a white bird like Larry,35,quoted,USD,"Detroit, MI",medium,,,lyric_search,162,https://genius.com/Wanski-5am-lyrics,5581442,2019,,Veeze,"Detroit, Michigan, U.S",,Detroit,,,,img/artists/veeze-1847232.jpg,artist_photo,img/art/5581442.jpg,,,,,"Detroit, MI",curated
2019,Slim (UK),Picture This,Slim,Yo it's forty bags for a brick / It's gettin' drastic,40,quoted,GBP,"London, UK",high,,,lyric_search,163,https://genius.com/Slim-uk-picture-this-lyrics,4396557,2019,,,,,,,,,img/artists/slim-uk-1647029.jpg,artist_photo,img/art/4396557.jpg,,,,,"London, UK",curated
2020,42 Dugg,Ride With Me,42 Dugg,"Thirty-five a key, buss her down and lean",35,quoted,USD,"Detroit, MI",high,,,lyric_search,164,https://genius.com/42-dugg-ride-with-me-lyrics,5391972,2020,,42 Dugg,"Detroit, Michigan, U.S",,Atlanta,,,,img/artists/42-dugg-1426415.jpg,artist_photo,img/art/5391972.jpg,,,,,"Detroit, MI",curated
2020,Burna Bandz,Let The Racks Speak,Burna Bandz,Bricks going for the forty-three,43,quoted,CAD,"Toronto, ON",high,,,lyric_search,165,https://genius.com/Burna-bandz-let-the-racks-speak-lyrics,5203159,2020,,,,,,,,,img/artists/burna-bandz-1231938.jpg,artist_photo,img/art/5203159.jpg,,,,,"Toronto, ON",curated
2020,Jeezy,Back,Jeezy,"I want twenty for a half, forty for a slab (Bricks)",40,sell,USD,"Atlanta, GA",high,,,lyric_search,166,https://genius.com/Jeezy-back-lyrics,6019377,2020,,Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,,,,img/artists/jeezy-67.jpg,artist_photo,img/art/6019377.jpg,,,,,"Atlanta, GA",curated
2020,K-Trap,Probably,,"Fifty-four a brick, I need a better price",54,buy,GBP,"London, UK",high,,,lyric_search,167,https://genius.com/K-trap-probably-lyrics,6097396,2020,,K-Trap,"Lambeth, London, England","Gipsy Hill, London, England",London,,,,img/artists/k-trap-661054.jpg,artist_photo,img/art/6097396.jpg,,,,,"London, UK",curated
2020,Lil Wayne,I Don't Sleep,,"Text message from my Memphis bitch, she get 'em ten a key",10,quoted,USD,"New Orleans, LA",low,outlier,,lyric_search,168,https://genius.com/Lil-wayne-i-dont-sleep-lyrics,5218403,2020,"Memphis, TN",Lil Wayne,"New Orleans, Louisiana, U.S",,New Orleans,https://genius.com/24166640,"Memphis is a city in the US state of Tennessee, which rhymes with “ten a key” and suggests that she can obtain a kilogram of cocaine for $10,000 – or “10 a ki.”",1,img/artists/lil-wayne-4.jpg,artist_photo,img/art/5218403.jpg,,,,,"Memphis, TN",lyric
2020,Ronin Gray,GET DOWN,Ronin Gray,Them birds I used to flip / Twenty-one five,21.5,quoted,USD,,medium,retrospective,,lyric_search,169,https://genius.com/Ronin-gray-get-down-lyrics,5682387,2020,,,,,,,,,img/art/5682387.jpg,song_art,img/art/5682387.jpg,"Los Angeles, CA","Genius and Bandcamp: raised in Boyle Heights, Los Angeles; the Atlanta studio credit is the producer's",https://roningray1.bandcamp.com/album/red-dragon-ep,high,"Los Angeles, CA",inferred
2020,SupaWassi,Gucci,SupaWassi,I could get a bird for thirty-three like Larry (Bird),33,buy,USD,,medium,,,lyric_search,170,https://genius.com/Supawassi-gucci-lyrics,5498070,2020,,,,,,,,,img/artists/supawassi-1532926.jpg,artist_photo,img/art/5498070.jpg,"Toronto, ON",Genius bio: from Northside Jane-Finch; HipHopCanada calls him a Toronto-based artist,https://hiphopcanada.com/tag/supawassi/,high,"Toronto, ON",inferred
2021,BandGang Lonnie Bands & Cypress Moreno,Where Is Marshall,BandGang Lonnie Bands,"I just paid fifty for a bird, this nigga taxin' me",50,buy,USD,"Detroit, MI",high,,rapper says he was overcharged,lyric_search,171,https://genius.com/Bandgang-lonnie-bands-and-cypress-moreno-where-is-marshall-lyrics,7356972,2021,,,,,,,,,img/artists/bandgang-lonnie-bands-663475.jpg,artist_photo,img/art/7356972.jpg,,,,,"Detroit, MI",curated
2021,Pop Smoke,Tell the Vision,Pusha T,"When a brick is thirty-six, bitch, how could I not?",36,quoted,USD,"Virginia Beach, VA",high,,,lyric_search,172,https://genius.com/Pop-smoke-tell-the-vision-lyrics,7003254,2021,,Pusha T,"New York City, U.S","Virginia Beach, Virginia, U.S",New York City,https://genius.com/23513617,"A “brick” is a kilo of cocaine. Each kilo, according to Pusha T, goes for $36,000. One can imagine moving a lot of these can get you a lot of money quick.",35,img/artists/pusha-t-643.jpg,artist_photo,img/art/7003254.jpg,,,,,"Virginia Beach, VA",curated
2021,Struggle Mike & Smoke Bulga,John Gotti,,"Only thirty for a bird, I know the real de[al]",30,sell,USD,"Buffalo, NY",medium,,,lyric_search,173,https://genius.com/Struggle-mike-and-black-soprano-family-john-gotti-remix-lyrics,8993271,2023,,,,,,,,,img/artists/struggle-mike-3048748.jpg,artist_photo,img/art/8993271.jpg,,,,,"Buffalo, NY",curated
2021,Tee Grizzley,White Dior Tee,Tee Grizzley,"Forty-eight a key, thirty-eight a P, nigga (Work)",48,quoted,USD,"Detroit, MI",medium,,,lyric_search,174,https://genius.com/Tee-grizzley-white-dior-tee-lyrics,6773161,2021,,Tee Grizzley,"Detroit, Michigan, U.S",,Detroit,,,,img/artists/tee-grizzley-1028913.jpg,artist_photo,img/art/6773161.jpg,,,,,"Detroit, MI",curated
2022,"42 Dugg, Coi Leray & CMG The Label",Hold Me Down,42 Dugg,"Forty for a verse, I want fifty for a brick",50,sell,USD,"Detroit, MI",high,,,lyric_search,175,https://genius.com/42-dugg-coi-leray-and-cmg-the-label-hold-me-down-lyrics,8191531,2022,,42 Dugg,"Detroit, Michigan, U.S",,Atlanta,,,,img/artists/42-dugg-1426415.jpg,artist_photo,img/art/8191531.jpg,,,,,"Detroit, MI",curated
2022,Al-Doms & Pusha T,HAHA,Pusha T,My yellow brick road was twenty-five a key,25,quoted,USD,"Virginia Beach, VA",high,retrospective,,lyric_search,176,https://genius.com/Al-doms-and-pusha-t-haha-lyrics,8088526,2022,,Pusha T,"New York City, U.S","Virginia Beach, Virginia, U.S",New York City,,,,img/artists/pusha-t-643.jpg,artist_photo,img/art/8088526.jpg,,,,,"Virginia Beach, VA",curated
2022,Blac Youngsta,Money,Blac Youngsta,"Forty for a brick, eating Winnup since back in the day",40,quoted,USD,"Memphis, TN",high,,,lyric_search,177,https://genius.com/Blac-youngsta-money-lyrics,7889544,2022,,Blac Youngsta,"Memphis, Tennessee, U.S",,Memphis,,,,img/artists/blac-youngsta-407382.jpg,artist_photo,img/art/7889544.jpg,,,,,"Memphis, TN",curated
2022,Kenzo Str8Drop,Trap Flow,Kenzo Str8Drop,Nuttin' less than thirty five and you can cop this brick,35,sell,USD,,medium,,,lyric_search,178,https://genius.com/Kenzo-str8drop-trap-flow-lyrics,8900077,2022,,,,,,https://genius.com/30606622,"He’ll accept no less than 35 grand for a brick (kilogram) of his product.
The alleged average price of a kilo in the uk is around 28000-32000 he’s made a nice drink there, especially if he’s trampled  (cut) on the product beforehand.",0,img/artists/kenzo-str8drop-3389746.jpg,artist_photo,img/art/8900077.jpg,"Manchester, UK",Genius bio and Clash: Manchester rapper Marco McKenzie,https://www.clashmusic.com/news/manchester-rapper-kenzo-str8drop-asks-who-needs-enemies,high,"Manchester, UK",inferred
2022,Tye Henney,PM,Tye Henney,"Twenty for a bird, if it's good, I need that shit",20,buy,USD,,medium,,,lyric_search,179,https://genius.com/Tye-henney-pm-lyrics,8083772,2022,,,,,,,,,img/artists/tye-henney-3191887.jpg,artist_photo,img/art/8083772.jpg,"New Haven, CT","ReverbNation profile: rapper from New Haven, Connecticut",https://legacy.reverbnation.com/tyehenney,high,"New Haven, CT",inferred
2023,Boldy James & ChanHays,Trust Issues,Boldy James,"Twenty-six a blue, thirty for the brick",30,quoted,USD,"Detroit, MI",high,,,lyric_search,180,https://genius.com/Boldy-james-and-chanhays-trust-issues-lyrics,9210347,2023,,Boldy James,"Atlanta, Georgia, U.S","Detroit, Michigan, U.S",Detroit,,,,img/artists/boldy-james-11689.jpg,artist_photo,img/art/9210347.jpg,,,,,"Detroit, MI",curated
2024,"Poody Gordy, Babyface Ray, Drego & Beno & ShredGang Mone",Break a Bitch,,"'Bout twenty, yeah, for this half a brick",40,sell,USD,"Detroit, MI",medium,derived,20 per half => 40 per kilo,lyric_search,181,https://genius.com/Poody-gordy-babyface-ray-drego-and-beno-and-shredgang-mone-break-a-bitch-lyrics,9985132,2024,,,,,,,,,img/artists/poody-gordy-2984432.jpg,artist_photo,img/art/9985132.jpg,,,,,"Detroit, MI",curated
2025,Boldy James & V Don,Bobert Horry,Boldy James,Back when they used to charge you seventeen for the whole brick,17,quoted,USD,"Detroit, MI",high,retrospective,,lyric_search,182,https://genius.com/Boldy-james-and-v-don-bobert-horry-lyrics,11654662,2025,,Boldy James,"Atlanta, Georgia, U.S","Detroit, Michigan, U.S",Detroit,,,,img/artists/boldy-james-11689.jpg,artist_photo,img/art/11654662.jpg,,,,,"Detroit, MI",curated
2026,Conway the Machine & DJ Whoo Kid,TV OFF,Conway the Machine,Fifteen and a half for a key slab,15.5,quoted,USD,"Buffalo, NY",medium,,,lyric_search,183,https://genius.com/Conway-the-machine-and-dj-whoo-kid-tv-off-lyrics,13669770,2026,,Conway the Machine,"Buffalo, New York, U.S",,London,,,,img/artists/conway-the-machine-53774.jpg,artist_photo,img/art/13669770.jpg,,,,,"Buffalo, NY",curated
2026,Nickoe,The Peoples Choice,Nickoe,I just sold a brick at forty,40,sell,USD,,medium,,,lyric_search,184,https://genius.com/Nickoe-the-peoples-choice-lyrics,13011362,2026,,,,,,,,,img/art/13011362.jpg,song_art,img/art/13011362.jpg,"Jackson, MS","OnTheSceneNY: 'Jackson, Mississippi's very own Nickoe'",https://www.onthesceneny.com/videos/jackson-mississippis-very-own-nickoe-drops-his-official-music-video-for-bunny-hop-day1_nickoe/,high,"Jackson, MS",inferred
2000,Three 6 Mafia,Sippin' on Some Syrup,Pimp C,"If you got sixteen, you can get a bizzird",16,sell,USD,"Port Arthur, TX",high,,"annotation: Pimp C sells birds for $16,000",annotation,185,https://genius.com/Three-6-mafia-sippin-on-some-syrup-lyrics,2605,2000,,Pimp C,"Crowley, Louisiana, U.S","Port Arthur, Texas, U.S",Port Arthur,https://genius.com/27953823,"A bird is a kilogram of cocaine. Pimp C sells them for $16,000. The -izz- is inserted, matching “sizzurp” in the next line.",4,img/artists/three-6-mafia-44.jpg,artist_photo,img/art/2605.jpg,,,,,"Port Arthur, TX",curated
2003,G-Unit,Stunt 101,Young Buck,"Buck, he from Cashville, Ten-a-key nigga / We getting them ten a ki'",10,buy,USD,"Nashville, TN",high,,,annotation,186,https://genius.com/G-unit-stunt-101-lyrics,4770,2003,"Nashville, TN (Cashville)",,,,,https://genius.com/3409655,"During the recording of this album, (Beg for Mercy), Tony Yayo was sentenced to prison, which is when Young Buck stepped in and joined G-Unit.

Young Buck stepping in for this album instead of the original member (Tony Yayo) is the reason to 50 Cent formally introducing Buck throughout this album.

Buck is from Nashville, Tennessee, hence the creation of his record label “Ca$hville”.

“Tennessee” ",5,img/artists/g-unit-2035.jpg,artist_photo,img/art/4770.jpg,,,,,"Nashville, TN (Cashville)",lyric
2005,Bun B,Get Throwed,Young Jeezy,"Snowman, 16.5 a piece, nigga, USDA",16.5,buy,USD,"Atlanta, GA",high,,annotation notes Jeezy has also used 17.5 and 19.5,annotation,187,https://genius.com/Bun-b-get-throwed-lyrics,1007,2005,,Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,https://genius.com/30367,"Young Jeezy identifies himself as the Snowman, referring to the large amounts of cocaine he sold.  He claims to purchase kilos of cocaine for $16,500, although he has varied this figure to 17.5 and 19.5.  U.S.D.A. is Jeezy’s rap group United Streets Dopeboyz of America with Slick Pulla, Blood Raw, and other Jeezy associates.

Pimp C would later release an interlude and song in 2013 titled “16.5” w",10,img/artists/jeezy-67.jpg,artist_photo,img/art/1007.jpg,,,,,"Atlanta, GA",curated
2006,Clipse,Wamp Wamp (What It Do),Malice,"Seventeen a brick, yeah, run and tell 'em that",17,sell,USD,"Virginia Beach, VA",high,,,annotation,188,https://genius.com/Clipse-wamp-wamp-what-it-do-lyrics,1001,2006,,,,,,https://genius.com/20058384,"This a possible way of malice telling how much his bricks of coke costs. 17 is possibly $17k, and that is around the cheaper prices coke can be bought for. This is also why the re-up gang’s main anthem is “we got it 4 cheap”.",5,img/artists/clipse-5.jpg,artist_photo,img/art/1001.jpg,,,,,"Virginia Beach, VA",curated
2007,OJ da Juiceman,Kop a Chicken,OJ da Juiceman,"Cop a chicken, dog, for the 18",18,buy,USD,"Atlanta, GA",medium,implied_unit,chicken = bird = kilo; annotation misreads it as a pound,annotation,189,https://genius.com/Oj-da-juiceman-kop-a-chicken-lyrics,100172,2007,,OJ da Juiceman,,"Atlanta, Georgia, U.S",Atlanta,https://genius.com/12615834,"OJ Da Juiceman was known for making/selling crack cocaine before & during his music career. a chicken = bird = a pound. he buys the pound of drugs for $1,800 USD.",-3,img/artists/oj-da-juiceman-260.jpg,artist_photo,img/art/100172.jpg,,,,,"Atlanta, GA",curated
2008,Gucci Mane,Bricks,Gucci Mane,"Drought season in, charged your ass a whole thirty",30,sell,USD,"Atlanta, GA",high,drought,"annotation: drought price, normally ~25",annotation,190,https://genius.com/Gucci-mane-bricks-lyrics,423,2008,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,https://genius.com/15484,“Drought” refers to a time when drug prices soar and Gucci can charge a whole $30K for a kilo of cocaine (usually goes for ~$25K) Economics 101; low supply equals higher prices,4,img/artists/gucci-mane-13.jpg,artist_photo,img/art/423.jpg,,,,,"Atlanta, GA",curated
2010,Jeezy,Ill'in,Jeezy,"Got some redbones to go out to Phoenix, get that Amare",1,buy,USD,"Atlanta, GA",medium,outlier;hyperbole;homage;implied_unit,Amar'e Stoudemire wore #1 => $1k a kilo; answers Jay-Z's Dwyane Wade line,annotation,191,https://genius.com/Jeezy-illin-lyrics,465,2010,"Phoenix, AZ",Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,https://genius.com/16566,"A redbone is a ruddy, light-skinned black girl. In the classic meme of a sexy girl transporting drugs for a rapper, Jeezy has his redbone go to Arizona to buy him cocaine

Jeezy refers to cocaine here as “Amare”, referring to basketball player Amar'e Stoudemire, whose number is 1. This is a play on Jay-Z’s celebrated line:

If Jeezy’s paying Lebron I’m paying Dwayne Wade

Jeezy is saying that if J",0,img/artists/jeezy-67.jpg,artist_photo,img/art/465.jpg,,,,,"Phoenix, AZ",lyric
2012,Rick Ross,So Sophisticated,Rick Ross,Breaking news and we still get them for ten a key,10,buy,USD,"Miami, FL",low,outlier;hyperbole,,annotation,192,https://genius.com/Rick-ross-so-sophisticated-lyrics,74950,2012,,Rick Ross,"Clarksdale, Mississippi, U.S","Miami-Dade County, Florida, U.S",Miami,https://genius.com/794206,Even when Ross has heat on him he still gets a killer deal. $10k for a kilo. It can seriously run at around 25-30k. He makes a total killer especially when he makes it come back even harder than before.,5,img/artists/rick-ross-88.jpg,artist_photo,img/art/74950.jpg,,,,,"Miami, FL",curated
